종목코드,종목명,종가,대비,등락률,순자산가치(NAV),시가,고가,저가,거래량,거래대금,시가총액,순자산총액,상장좌수,기초지수_지수명,기초지수_종가,기초지수_대비,기초지수_등락률
"251590","ARIRANG 고배당저변동50","9970","80","0.81","9955.89","9890","9970","9840","5443","53856630","20937000000","20907369609","2100000","FnGuide 고배당저변동50 지수","1696.26","3.67","0.22"
"161510","ARIRANG 고배당주","10730","-20","-0.19","10784.16","10790","10790","10625","213748","2285334305","185414400000","186350199188","17280000","FnGuide 배당주 지수","10241.72","-22.28","-0.22"
"251600","ARIRANG 고배당주채권혼합","10490","15","0.14","10484.94","10475","10490","10425","3729","38947615","11539000000","11533434115","1100000","FnGuide 고배당 채권혼합 지수","2594.25","-2.14","-0.08"
"289670","ARIRANG 국채선물10년","57200","-140","-0.24","57234.46","57320","57320","57195","29","1661505","6406400000","6410260053","112000","10년국채선물지수","1362.09","-3.05","-0.22"
"298340","ARIRANG 국채선물3년","53470","-10","-0.02","53465.43","53420","53470","53420","47","2511690","8341320000","8554469328","156000","국채선물지수","1270.13","-0.23","-0.02"
"189400","ARIRANG 글로벌MSCI(합성 H)","15820","55","0.35","15718.08","15645","15820","15645","1314","20737465","8068200000","8016223050","510000","MSCI ACWI Index","645.29","2.29","0.36"
"278620","ARIRANG 단기채권액티브","105740","0","0.00","105760.40","105750","105750","105740","330","34895155","22945580000","22950006938","217000","KAP 투자적격 크레딧 채권 1년 지수(A- 이상,총수익)","127.51","0.01","0.01"
"269540","ARIRANG 미국S&P500(H)","15200","-65","-0.43","15116.05","15160","15215","15130","15055","228502420","27360000000","27208893848","1800000","S&P 500","3732.04","5.00","0.13"
"287180","ARIRANG 미국나스닥기술주","19150","-195","-1.01","19025.56","19480","19480","19100","11269","215716155","17235000000","17123007032","900000","NASDAQ 100 Technology Sector Index","7529.84","71.19","0.95"
"213630","ARIRANG 미국다우존스고배당주(합성 H)","12445","-55","-0.44","12430.36","12420","12470","12390","7914","98245625","6595850000","6588091249","530000","Dow Jones U.S Select Dividend Index(시장가격지수)","682.37","4.55","0.67"
"332610","ARIRANG 미국단기우량회사채","92460","-430","-0.46","92215.45","92770","92770","92310","435","40232170","21265800000","21209553812","230000","ICE BofaAML 1-3 Year AAA-A US Corporate Index(총수익지수)","527.94","0.06","0.01"
"332620","ARIRANG 미국장기우량회사채","100000","-50","-0.05","99380.85","100050","100050","99440","2099","209508330","26000000000","25839021284","260000","ICE BofaAML 15+ Year AAA-A US Corporate Index(총수익지수)","1457.55","4.92","0.34"
"195970","ARIRANG 선진국MSCI(합성 H)","11375","80","0.71","11268.08","11300","11405","11240","18291","207094820","5915000000","5859403399","520000","MSCI EAFE Index","2161.48","2.23","0.10"
"238670","ARIRANG 스마트베타Quality채권혼합","10820","75","0.70","10814.06","10765","10820","10765","503","5435015","6492000000","6488436020","600000","WISE-KAP 스마트베타 Quality 채권혼합지수","1287.70","4.43","0.35"
"195980","ARIRANG 신흥국MSCI(합성 H)","12280","115","0.95","12167.98","12160","12305","12100","70323","861192030","62136800000","61569982095","5060000","MSCI EM Index","1289.03","22.26","1.76"
"373530","ARIRANG 신흥국MSCI인버스(합성 H)","9815","-105","-1.06","9885.99","9870","9870","9815","3","29505","7066800000","7117915685","720000","MSCI EM Index","1289.03","22.26","1.76"
