종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"036540","SFA반도체","KOSDAQ","우량기업부","5770","200","3.59","5540","5940","5490","13897532","80116710550","948935948310","164460303"
"255220","SG","KOSDAQ","우량기업부","1865","15","0.81","1850","1875","1830","48433","89384310","68482850355","36720027"
"040610","SG&G","KOSDAQ","중견기업부","1565","50","3.30","1535","1575","1530","234397","365526445","53346461740","34087196"
"049470","SGA","KOSDAQ","벤처기업부","831","14","1.71","822","840","815","349269","288718145","40562978919","48812249"
"184230","SGA솔루션즈","KOSDAQ","벤처기업부","1040","30","2.97","1020","1060","1000","429625","442757420","38143074320","36676033"
"224880","SGA클라우드서비스","KONEX","일반기업부","2965","0","0.00","0","0","0","0","0","16064859225","5418165"
"005090","SGC에너지","KOSPI",,"39250","50","0.13","39300","40150","38550","210625","8283741300","576072407000","14677004"
"016250","SGC이테크건설","KOSDAQ","우량기업부","61100","-2700","-4.23","63200","63800","61100","30523","1893175200","96622501300","1581383"
"004060","SG세계물산","KOSPI",,"605","9","1.51","600","608","594","761646","458051554","122467100800","202424960"
"001380","SG충방","KOSPI",,"2075","0","0.00","2080","2155","2050","369893","775633230","93300596725","44964143"
"002360","SH에너지화학","KOSPI",,"835","36","4.51","814","841","800","2418926","2013048643","92796664550","111133730"
"009160","SIMPAC","KOSPI",,"2470","15","0.61","2455","2485","2445","59007","145547845","161610904520","65429516"
"123700","SJM","KOSPI",,"3295","-75","-2.23","3450","3450","3275","208875","692561415","51418138910","15604898"
"025530","SJM홀딩스","KOSPI",,"3050","20","0.66","3030","3065","2970","39909","120598275","45548724400","14934008"
"034730","SK","KOSPI",,"240500","5000","2.12","235500","241000","233500","226620","54034644500","16921651428500","70360297"
"307070","SK4호스팩","KOSDAQ","SPAC(소속부없음)","2015","0","0.00","0","0","0","0","0","10397400000","5160000"
"337450","SK5호스팩","KOSDAQ","SPAC(소속부없음)","2050","0","0.00","2055","2055","2045","3646","7474105","8835500000","4310000"
"340350","SK6호스팩","KOSDAQ","SPAC(소속부없음)","2030","0","0.00","2030","2030","2020","2562","5200750","11591300000","5710000"
"011790","SKC","KOSPI",,"94000","600","0.64","94000","94100","92600","315760","29579057500","3559620012000","37868298"
"018670","SK가스","KOSPI",,"104500","0","0.00","104500","105000","103500","13569","1414679500","964560498000","9230244"
"001740","SK네트웍스","KOSPI",,"4855","85","1.78","4820","4870","4805","1045858","5062057125","1204951026185","248187647"
"001745","SK네트웍스우","KOSPI",,"100000","1300","1.32","99000","128000","99000","8570","994897600","11364800000","113648"
"006120","SK디스커버리","KOSPI",,"65700","-800","-1.20","66500","66500","65300","98438","6486416500","1250787073500","19037855"
"006125","SK디스커버리우","KOSPI",,"56500","-100","-0.18","56000","56700","55500","33752","1939079700","76752707500","1358455"
"210980","SK디앤디","KOSPI",,"43150","0","0.00","43150","43300","42450","69858","3002846200","819425576600","18990164"
"068400","SK렌터카","KOSPI",,"9050","20","0.22","9030","9090","9000","56580","511828920","427936852000","47285840"
"036490","SK머티리얼즈","KOSDAQ","우량기업부","357800","2800","0.79","354000","365700","349000","56107","20068774900","3773957399400","10547673"
"326030","SK바이오팜","KOSPI",,"169000","1000","0.60","168000","169500","167000","221674","37343587500","13234939250000","78313250"
"03473K","SK우","KOSPI",,"240000","3500","1.48","236500","240000","233000","6157","1464015500","135872400000","566135"
"096770","SK이노베이션","KOSPI",,"190000","7000","3.83","183500","190500","179500","976008","182738908500","17568457160000","92465564"
"096775","SK이노베이션우","KOSPI",,"137000","3000","2.24","132500","139000","132500","29556","4025839000","171034362000","1248426"
"001510","SK증권","KOSPI",,"802","6","0.75","798","808","791","4640152","3717045736","379017317142","472590171"
"001515","SK증권우","KOSPI",,"5150","140","2.79","5180","5200","5110","37552","194024400","20149447100","3912514"
"285130","SK케미칼","KOSPI",,"392500","-9000","-2.24","394500","396500","387000","349484","137281606500","4608497930000","11741396"
"28513K","SK케미칼우","KOSPI",,"174000","-3500","-1.97","174500","176000","171000","50994","9108825000","253808580000","1458670"
"017670","SK텔레콤","KOSPI",,"238000","500","0.21","238000","239000","236000","317278","75438340000","19217479218000","80745711"
"000660","SK하이닉스","KOSPI",,"118500","2500","2.16","116000","118500","114500","4195192","489962294500","86268280252500","728002365"
"048550","SM C&C","KOSDAQ","중견기업부","1630","30","1.88","1585","1655","1580","632481","1032558420","154214495600","94610120"
"063440","SM Life Design","KOSDAQ","중견기업부","2070","65","3.24","2000","2170","1985","9575262","20220562885","93417348780","45129154"
"950180","SNK","KOSDAQ","외국기업(소속부없음)","22650","2250","11.03","20600","24000","20450","2477653","55040288350","477049770000","21061800"
"005610","SPC삼립","KOSPI",,"72000","-500","-0.69","72600","72700","71400","25922","1861709900","621288648000","8629009"
"011810","STX","KOSPI",,"5600","90","1.63","5570","5650","5510","32026","179203580","110470651200","19726902"
"077970","STX엔진","KOSPI",,"7280","30","0.41","7300","7370","7100","30902","223914780","167504821120","23008904"
"071970","STX중공업","KOSPI",,"3860","30","0.78","3930","3930","3830","116746","452509780","109492667360","28365976"
"289080","SV인베스트먼트","KOSDAQ","벤처기업부","6190","-270","-4.18","6400","6690","6100","14611118","93690174960","329518460000","53234000"
"084870","TBH글로벌","KOSPI",,"1750","5","0.29","1745","1780","1730","36460","64002275","36499433250","20856819"
"002710","TCC스틸","KOSPI",,"5290","130","2.52","5120","5560","5100","2964826","15864941760","121670000000","23000000"
"089230","THE E&M","KOSDAQ","중견기업부","1200","-5","-0.41","1220","1280","1165","7815459","9589148680","179107998000","149256665"
"161570","THE MIDONG","KOSDAQ","중견기업부","1950","35","1.83","1915","1995","1825","647323","1242623250","26893982700","13791786"
"032540","TJ미디어","KOSDAQ","중견기업부","3100","-5","-0.16","3120","3120","3055","9271","28602475","43187987900","13931609"
